student_id,attendance,quiz_score,assignment_score,exam_score,risk_status
S001,95,90,92,88,Not At Risk
S002,88,84,86,82,Not At Risk
S003,76,72,75,70,Not At Risk
S004,62,58,60,55,At Risk
S005,55,48,52,50,At Risk
S006,91,87,89,85,Not At Risk
S007,68,65,61,60,At Risk
S008,82,78,80,76,Not At Risk
S009,47,50,45,48,At Risk
S010,73,69,72,68,Not At Risk
S011,85,81,79,83,Not At Risk
S012,59,55,57,52,At Risk
S013,79,74,77,73,Not At Risk
S014,66,62,64,58,At Risk
S015,93,92,90,91,Not At Risk
S016,71,67,69,65,At Risk
S017,87,83,85,80,Not At Risk
S018,52,46,49,44,At Risk
S019,74,71,73,69,Not At Risk
S020,64,59,62,56,At Risk
S021,89,86,88,84,Not At Risk
S022,57,53,55,49,At Risk
S023,81,76,78,75,Not At Risk
S024,69,64,66,61,At Risk
S025,96,94,93,95,Not At Risk
S026,61,57,59,54,At Risk
S027,78,73,76,72,Not At Risk
S028,49,44,47,42,At Risk
S029,84,80,82,79,Not At Risk
S030,72,66,68,63,At Risk
